date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:14	54824/54824	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-d628%22	https://themewagon.github.io/Presento/assets/img/working-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/working-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:14	91314/91314	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-164b2%22	https://themewagon.github.io/Presento/assets/img/working-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/working-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:14	98318/98318	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1800e%22	https://themewagon.github.io/Presento/assets/img/working-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/working-4.jpg	(from https://themewagon.github.io/Presento/)
03:12:14	11751/11751	---M-Z	200	added ('OK')	text/html	etag:W/%22675a6d49-2de7%22	https://themewagon.github.io/Presento/service-details.html	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/service-details.html	(from https://themewagon.github.io/Presento/)
03:12:15	67064/67064	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-105f8%22	https://themewagon.github.io/Presento/assets/img/portfolio/app-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/app-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:15	10760/10760	---M-Z	200	added ('OK')	text/html	etag:W/%22675a6d49-2a08%22	https://themewagon.github.io/Presento/portfolio-details.html	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/portfolio-details.html	(from https://themewagon.github.io/Presento/)
03:12:15	62035/62035	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-f253%22	https://themewagon.github.io/Presento/assets/img/portfolio/product-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/product-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:15	25514/25514	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-63aa%22	https://themewagon.github.io/Presento/assets/img/portfolio/branding-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/branding-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:16	80146/80146	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-13912%22	https://themewagon.github.io/Presento/assets/img/portfolio/books-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/books-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:16	73871/73871	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-1208f%22	https://themewagon.github.io/Presento/assets/img/portfolio/app-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/app-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:16	89298/89298	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-15cd2%22	https://themewagon.github.io/Presento/assets/img/portfolio/product-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/product-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:16	52305/52305	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-cc51%22	https://themewagon.github.io/Presento/assets/img/portfolio/branding-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/branding-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:17	60824/60824	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-ed98%22	https://themewagon.github.io/Presento/assets/img/portfolio/books-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/books-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:17	42308/42308	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-a544%22	https://themewagon.github.io/Presento/assets/img/portfolio/app-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/app-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:17	20090/20090	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-4e7a%22	https://themewagon.github.io/Presento/assets/img/portfolio/product-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/product-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:17	77892/77892	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-13044%22	https://themewagon.github.io/Presento/assets/img/portfolio/branding-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/branding-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:17	91462/91462	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-16546%22	https://themewagon.github.io/Presento/assets/img/portfolio/books-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/portfolio/books-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:18	39727/39727	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-9b2f%22	https://themewagon.github.io/Presento/assets/img/testimonials/testimonials-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/testimonials/testimonials-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:18	57584/57584	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-e0f0%22	https://themewagon.github.io/Presento/assets/img/testimonials/testimonials-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/testimonials/testimonials-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:18	17247/17247	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-435f%22	https://themewagon.github.io/Presento/assets/img/testimonials/testimonials-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/testimonials/testimonials-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:18	20220/20220	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-4efc%22	https://themewagon.github.io/Presento/assets/img/testimonials/testimonials-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/testimonials/testimonials-4.jpg	(from https://themewagon.github.io/Presento/)
03:12:19	22595/22595	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-5843%22	https://themewagon.github.io/Presento/assets/img/testimonials/testimonials-5.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/testimonials/testimonials-5.jpg	(from https://themewagon.github.io/Presento/)
03:12:19	64386/64386	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-fb82%22	https://themewagon.github.io/Presento/assets/img/team/team-1.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/team/team-1.jpg	(from https://themewagon.github.io/Presento/)
03:12:19	34427/34427	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-867b%22	https://themewagon.github.io/Presento/assets/img/team/team-2.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/team/team-2.jpg	(from https://themewagon.github.io/Presento/)
03:12:19	25992/25992	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-6588%22	https://themewagon.github.io/Presento/assets/img/team/team-3.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/team/team-3.jpg	(from https://themewagon.github.io/Presento/)
03:12:20	54623/54623	---M--	200	added ('OK')	image/jpeg	etag:%22675a6d49-d55f%22	https://themewagon.github.io/Presento/assets/img/team/team-4.jpg	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/img/team/team-4.jpg	(from https://themewagon.github.io/Presento/)
03:12:20	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-13b51%22	https://themewagon.github.io/Presento/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/Presento/)
03:12:20	2734/2734	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-aae%22	https://themewagon.github.io/Presento/assets/vendor/php-email-form/validate.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/php-email-form/validate.js	(from https://themewagon.github.io/Presento/)
03:12:20	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-35e8%22	https://themewagon.github.io/Presento/assets/vendor/aos/aos.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/aos/aos.js	(from https://themewagon.github.io/Presento/)
03:12:21	56300/56300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-dbec%22	https://themewagon.github.io/Presento/assets/vendor/glightbox/js/glightbox.min.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/glightbox/js/glightbox.min.js	(from https://themewagon.github.io/Presento/)
03:12:21	151102/151102	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-24e3e%22	https://themewagon.github.io/Presento/assets/vendor/swiper/swiper-bundle.min.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/swiper/swiper-bundle.min.js	(from https://themewagon.github.io/Presento/)
03:12:21	5417/5417	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-1529%22	https://themewagon.github.io/Presento/assets/vendor/purecounter/purecounter_vanilla.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/purecounter/purecounter_vanilla.js	(from https://themewagon.github.io/Presento/)
03:12:21	5485/5485	---M-Z	200	added ('OK')	application/javascript	etag:W/%22675a6d49-156d%22	https://themewagon.github.io/Presento/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	D:/Web%20Application/Digitrick/themewagon.github.io/Presento/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	(from https://themewagon.github.io/Presento/)
